province,index,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Newfoundland and Labrador,GHG Intensity (tonne/TJ),24.115264,25.112332,26.67504,23.453992,24.143637,19.842851,19.840742,24.117497,25.278319,22.026885,21.170475,22.889362,19.678523,16.292033,18.538228,14.987688,16.700193,19.618793,19.244986,18.69144,17.629236
Newfoundland and Labrador,Heating Degree-Day Index ,0.927452,0.967001,1.008602,0.945755,1.012354,0.93906,0.886349,0.991481,0.952201,0.928551,0.881187,0.941485,0.713436,0.810878,0.972245,1.026739,0.93251,1.026739,0.965799,0.988185,0.879405
Newfoundland and Labrador,Cooling Degree-Day Index ,1.017182,1.463917,1.027491,2.457045,2.243986,1.429553,1.415808,1.920962,1.862543,1.082474,1.917526,0.649485,2.116838,2.233677,3.058419,1.161512,1.752577,1.161512,2.934708,1.024055,2.450172
Nova Scotia,Total Energy Use (PJ),41.841837,44.088751,45.324909,42.270016,40.262805,38.459554,39.17236,44.870484,45.197851,46.222245,46.371759,49.492273,44.056034,43.008609,40.858767,42.061377,38.025034,38.901136,40.165255,39.462197,38.267803
Nova Scotia,Space Heating,27.391508,28.627268,29.600947,27.419,26.172562,24.393672,24.412016,28.685199,30.566066,31.913927,31.241655,34.331318,29.368351,29.17208,28.563242,30.258916,26.477583,27.767045,27.923365,27.520367,25.4951
Nova Scotia,Water Heating,7.822014,8.370638,8.485198,7.830844,7.105238,6.962283,7.681152,8.935059,7.908097,7.757989,8.530955,8.713029,8.096388,7.2017,6.158972,5.908337,5.514996,5.287823,5.935698,5.770478,6.138948
Nova Scotia,Appliances,5.031069,5.367606,5.473136,5.279483,5.294555,5.405205,5.446475,5.645572,5.214835,5.091869,5.108143,5.050454,5.122759,5.185554,4.828696,4.632376,4.746166,4.601007,4.915971,4.877502,5.184839
Nova Scotia,Lighting,1.569529,1.690386,1.735508,1.702936,1.661277,1.636488,1.58448,1.569896,1.433114,1.375634,1.365384,1.319488,1.321941,1.312845,1.196406,1.127468,1.139986,1.10258,1.16766,1.142847,1.221083
Nova Scotia,Space Cooling,0.027717,0.032853,0.03012,0.037754,0.029172,0.061906,0.048237,0.03476,0.075739,0.082826,0.125621,0.077985,0.146596,0.13643,0.111452,0.13428,0.146303,0.142682,0.222561,0.151003,0.227833
Nova Scotia,Total Floor Space (million m2),46.369,47.1,47.889,48.872,49.796,50.68,51.615,52.528,53.443,54.235,55.043,55.882,56.679,57.56,58.221,58.845,59.411,60.022,60.716,61.424,62.142
