"REF_DATE","GEO","DGUID","Statistic","Household type","Household expenditures, summary-level categories","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada","2016A000011124","Average expenditure per household","One person households","Household appliances","Dollars","81","units","0","v54530218","1.1.2.17","312","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","One person households","Household appliances","Dollars","81","units","0","v54530218","1.1.2.17","254","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","One person households","Clothing and accessories","Dollars","81","units","0","v54530219","1.1.2.18","1492","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","One person households","Clothing and accessories","Dollars","81","units","0","v54530219","1.1.2.18","1534","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","One person households","Clothing and accessories","Dollars","81","units","0","v54530219","1.1.2.18","1443","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","One person households","Clothing and accessories","Dollars","81","units","0","v54530219","1.1.2.18","1707","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","One person households","Clothing and accessories","Dollars","81","units","0","v54530219","1.1.2.18","1603","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","One person households","Clothing and accessories","Dollars","81","units","0","v54530219","1.1.2.18","1621","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","One person households","Clothing and accessories","Dollars","81","units","0","v54530219","1.1.2.18","1504","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","One person households","Clothing and accessories","Dollars","81","units","0","v54530219","1.1.2.18","1629","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","One person households","Clothing and accessories","Dollars","81","units","0","v54530219","1.1.2.18","1642","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","One person households","Transportation","Dollars","81","units","0","v54530224","1.1.2.23","5737","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","One person households","Transportation","Dollars","81","units","0","v54530224","1.1.2.23","5449","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","One person households","Transportation","Dollars","81","units","0","v54530224","1.1.2.23","5335","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","One person households","Transportation","Dollars","81","units","0","v54530224","1.1.2.23","5957","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","One person households","Transportation","Dollars","81","units","0","v54530224","1.1.2.23","5729","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","One person households","Transportation","Dollars","81","units","0","v54530224","1.1.2.23","5735","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","One person households","Transportation","Dollars","81","units","0","v54530224","1.1.2.23","5425","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","One person households","Transportation","Dollars","81","units","0","v54530224","1.1.2.23","5920","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","One person households","Transportation","Dollars","81","units","0","v54530224","1.1.2.23","5701","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","One person households","Private transportation","Dollars","81","units","0","v54530225","1.1.2.24","5069","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","One person households","Private transportation","Dollars","81","units","0","v54530225","1.1.2.24","4780","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","One person households","Private transportation","Dollars","81","units","0","v54530225","1.1.2.24","4669","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","One person households","Private transportation","Dollars","81","units","0","v54530225","1.1.2.24","5237","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","One person households","Private transportation","Dollars","81","units","0","v54530225","1.1.2.24","5035","","","","0"
