"REF_DATE","GEO","DGUID","Primary heating system and type of energy","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","Wood boiler with hot water or steam radiators","Percent","239","units","0","v95637335","1.24","2","E","","","0"
"2017","Canada","2016A000011124","Wood boiler with hot water or steam radiators","Percent","239","units","0","v95637335","1.24","2","E","","","0"
"2019","Canada","2016A000011124","Wood boiler with hot water or steam radiators","Percent","239","units","0","v95637335","1.24","2","E","","","0"
"2021","Canada","2016A000011124","Wood boiler with hot water or steam radiators","Percent","239","units","0","v95637335","1.24","1","E","","","0"
"2013","Canada","2016A000011124","Propane boiler with hot water or steam radiators","Percent","239","units","0","v95637338","1.27","","F","","","0"
"2015","Canada","2016A000011124","Propane boiler with hot water or steam radiators","Percent","239","units","0","v95637338","1.27","","F","","","0"
"2017","Canada","2016A000011124","Propane boiler with hot water or steam radiators","Percent","239","units","0","v95637338","1.27","","F","","","0"
"2019","Canada","2016A000011124","Propane boiler with hot water or steam radiators","Percent","239","units","0","v95637338","1.27","1","E","","","0"
"2021","Canada","2016A000011124","Propane boiler with hot water or steam radiators","Percent","239","units","0","v95637338","1.27","3","E","","","0"
"2013","Canada","2016A000011124","Other fuel boiler with hot water or steam radiators","Percent","239","units","0","v95637339","1.28","1","E","","","0"
"2015","Canada","2016A000011124","Other fuel boiler with hot water or steam radiators","Percent","239","units","0","v95637339","1.28","","F","","","0"
"2017","Canada","2016A000011124","Other fuel boiler with hot water or steam radiators","Percent","239","units","0","v95637339","1.28","2","E","","","0"
"2019","Canada","2016A000011124","Other fuel boiler with hot water or steam radiators","Percent","239","units","0","v95637339","1.28","8","E","","","0"
"2021","Canada","2016A000011124","Other fuel boiler with hot water or steam radiators","Percent","239","units","0","v95637339","1.28","7","","","","0"
"2013","Canada","2016A000011124","Electric radiant heating","Percent","239","units","0","v95637340","1.29","2","","","","0"
"2015","Canada","2016A000011124","Electric radiant heating","Percent","239","units","0","v95637340","1.29","1","","","","0"
"2017","Canada","2016A000011124","Electric radiant heating","Percent","239","units","0","v95637340","1.29","1","","","","0"
"2019","Canada","2016A000011124","Electric radiant heating","Percent","239","units","0","v95637340","1.29","3","","","","0"
"2021","Canada","2016A000011124","Electric radiant heating","Percent","239","units","0","v95637340","1.29","4","","","","0"
"2013","Canada","2016A000011124","Heat pump","Percent","239","units","0","v95637341","1.30","3","","","","0"
"2015","Canada","2016A000011124","Heat pump","Percent","239","units","0","v95637341","1.30","3","","","","0"
"2017","Canada","2016A000011124","Heat pump","Percent","239","units","0","v95637341","1.30","4","","","","0"
"2019","Canada","2016A000011124","Heat pump","Percent","239","units","0","v95637341","1.30","5","","","","0"
"2021","Canada","2016A000011124","Heat pump","Percent","239","units","0","v95637341","1.30","6","","","","0"
"2013","Canada","2016A000011124","Other type of heating system","Percent","239","units","0","v95637342","1.31","1","","","","0"
"2015","Canada","2016A000011124","Other type of heating system","Percent","239","units","0","v95637342","1.31","2","","","","0"
"2017","Canada","2016A000011124","Other type of heating system","Percent","239","units","0","v95637342","1.31","0","E","","","0"
"2019","Canada","2016A000011124","Other type of heating system","Percent","239","units","0","v95637342","1.31","3","","","","0"
"2021","Canada","2016A000011124","Other type of heating system","Percent","239","units","0","v95637342","1.31","4","","","","0"
"2013","Newfoundland and Labrador","2016A000210","All primary heating systems","Percent","239","units","0","v107791212","2.40","99","","","","0"
"2015","Newfoundland and Labrador","2016A000210","All primary heating systems","Percent","239","units","0","v107791212","2.40","99","","","","0"
"2017","Newfoundland and Labrador","2016A000210","All primary heating systems","Percent","239","units","0","v107791212","2.40","92","","","","0"
"2019","Newfoundland and Labrador","2016A000210","All primary heating systems","Percent","239","units","0","v107791212","2.40","91","","","","0"
"2021","Newfoundland and Labrador","2016A000210","All primary heating systems","Percent","239","units","0","v107791212","2.40","90","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Electricity","Percent","239","units","0","v107791213","2.41","70","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Electricity","Percent","239","units","0","v107791213","2.41","72","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Electricity","Percent","239","units","0","v107791213","2.41","71","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Electricity","Percent","239","units","0","v107791213","2.41","63","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Electricity","Percent","239","units","0","v107791213","2.41","68","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Natural gas","Percent","239","units","0","v107791214","2.42","","F","","","0"
"2015","Newfoundland and Labrador","2016A000210","Natural gas","Percent","239","units","0","v107791214","2.42","","F","","","0"
"2017","Newfoundland and Labrador","2016A000210","Natural gas","Percent","239","units","0","v107791214","2.42","","F","","","0"
"2019","Newfoundland and Labrador","2016A000210","Natural gas","Percent","239","units","0","v107791214","2.42","","F","","","0"
"2021","Newfoundland and Labrador","2016A000210","Natural gas","Percent","239","units","0","v107791214","2.42","","F","","","0"
"2013","Newfoundland and Labrador","2016A000210","Oil","Percent","239","units","0","v107791215","2.43","20","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Oil","Percent","239","units","0","v107791215","2.43","17","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Oil","Percent","239","units","0","v107791215","2.43","15","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Oil","Percent","239","units","0","v107791215","2.43","22","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Oil","Percent","239","units","0","v107791215","2.43","18","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Biomass","Percent","239","units","0","v107791216","2.44","13","E","","","0"
"2015","Newfoundland and Labrador","2016A000210","Biomass","Percent","239","units","0","v107791216","2.44","13","E","","","0"
"2017","Newfoundland and Labrador","2016A000210","Biomass","Percent","239","units","0","v107791216","2.44","9","E","","","0"
"2019","Newfoundland and Labrador","2016A000210","Biomass","Percent","239","units","0","v107791216","2.44","11","E","","","0"
