,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan
3703,8960,5871,2570.7691180862444,1054,812.0244445800781,803.29,11927,111.73912266326192,14793,2657
3704,8824,5659,2447.3289039339456,1061,838.9650573730469,839.56,11963,113.94672249646223,14520,2597
3705,8754,5506,2337.79744630585,1095,922.0652160644531,938.59,12275,119.58834170689788,15127,2564
3706,8760,5424,2268.253663684836,1215,1016.5712280273438,1058.88,12910,134.95589336965818,16605,2478
3707,8740,5465,2146.552044098062,1366,1046.497802734375,1107.68,13840,157.35133337772152,18292,2478
3708,8871,5602,2123.9503147462324,1424,1054.7774353027344,1137.95,14832,165.89176267319414,18788,2598
3709,9237,6013,2308.2413386919184,1452,1068.3588256835938,1177.5,15401,169.38317151902035,18976,2774
3710,9501,6643,2602.0638202657005,1465,1087.5881042480469,1202.65,15607,171.62760817230813,19402,2911
3711,9752,6949,2883.7161398808057,1469,1096.8982238769531,1163.4,15822,171.76141167613807,19238,2992
3712,9948,7172,3048.882623605713,1460,1097.8504638671875,1157.72,16101,168.74781983587224,19349,3070
3713,10035,7244,3194.9245671098415,1460,1069.4556274414062,1140.76,16318,168.45136932031673,19279,3092
3714,10153,7258,3245.3438095100746,1444,1097.4268798828125,1141.86,16296,164.34120332320867,19104,3151
3715,10252,7415,3351.3980780071215,1440,1109.9864501953125,1158.4,16529,166.27164675166358,19141,3179
3716,10267,7432,3400.0787258418304,1449,1109.7529296875,1158.84,16966,170.53627409917578,19249,3205
3717,10348,7367,3478.315481290471,1438,1087.5778198242188,1187.19,17662,172.20666981919493,19614,3231
3718,10381,7313,3560.0294258701615,1412,1069.302978515625,1167.97,17950,166.57127292220173,19539,3242
3719,10435,7326,3539.1662910838586,1378,1055.3705444335938,1148.33,17997,163.87031405401692,19060,3255
3720,10250,7292,3566.983804132263,1341,1057.5874633789062,1137.11,17331,159.81518025750972,18567,3183
3721,10086,7111,3405.2945095384066,1324,1043.9064331054688,1070.3,16801,157.29816040190593,18363,3105
3722,9918,6899,3241.8666203790253,1268,998.1990661621094,1017.93,15946,147.19610516569685,17581,3022
3723,9689,6764,3113.210622530149,1182,957.885498046875,954.58,14628,133.9117517978903,16743,2915
3724,9561,6703,2920.226625756837,1108,922.5645446777344,910.74,13441,124.60906823274891,16114,2824
